re_fraction,size_MW,storage_kg,LCOH,LCOH_credits,LCOH_capex,LCOH_opex,LCOH_elec,NPV_M,IRR,payback,CAPEX_M,H2_total_t,H2_annual_t,SEC,CF,op_hours,replacements,curtailment,demand_total_t,unmet_demand_t,unmet_demand_pct,demand_met_pct
0.5,30,12000,10.940746530293076,10.42731358531037,5.363261264091211,1.0105596490049267,3.351415098420242,14.93824214217703,11.486047532188348,7,75.636,24667.261289345795,1644.4840859563863,63.53468538466266,0.3257058757047787,85914,1,0.12764267129994727,31881.7565983104,8974.432518123594,28.149115593584334,71.85088440641567
0.5,30,15000,11.20707041178587,10.693637466803166,5.563330565173148,1.0105596490049267,3.351415098420242,11.182379410771892,10.540992801657307,7,78.4575,24667.261289345795,1644.4840859563863,63.53468538466266,0.3299468149007809,85914,1,0.11623480841310507,31881.7565983104,8485.82056299525,26.616540204829754,73.38345979517025
0.5,30,18000,11.473394293278664,10.959961348295959,5.763399866255084,1.0105596490049267,3.351415098420242,7.426516679366737,9.645175347905631,7,81.279,24667.261289345795,1644.4840859563863,63.53468538466266,0.3325046945576242,85914,1,0.10935427109396154,31881.7565983104,8192.285964281451,25.695842507986555,74.30415749201345
0.5,30,21000,11.739718174771461,11.226285229788756,5.963469167337021,1.0105596490049267,3.351415098420242,3.670653947961569,8.793622164377776,8,84.1005,24667.261289345795,1644.4840859563863,63.53468538466266,0.3344366210227872,85914,1,0.1041575089609848,31881.7565983104,7971.303340724326,25.002710613337946,74.99728938666206
0.5,30,24000,12.006042056264254,11.492609111281551,6.163538468418957,1.0105596490049267,3.351415098420242,-0.08520878344357014,7.982000912762675,8,86.922,24667.261289345795,1644.4840859563863,63.53468538466266,0.33583013982386783,85914,1,0.100409029985396,31881.7565983104,7812.725606203393,24.50531727168833,75.49468272831167
0.6,5,2000,8.230910594293983,7.672151142263697,2.2914310214852187,0.4317573981142759,4.73133305049005,20.7351391348162,33.51503220034561,3,12.606,9672.12221906565,644.80814793771,66.38810372794678,0.7859349252154592,115942,2,0.710143999025268,31881.7565983104,22403.20449802518,70.26966794926368,29.73033205073632
0.6,5,4000,8.69621992607482,8.137460474044534,2.633346121549767,0.4317573981142759,4.73133305049005,18.175302342248337,27.920594498433694,4,14.487,9672.12221906565,644.80814793771,66.38810372794678,0.7859349252154592,115942,2,0.710143999025268,31881.7565983104,22403.20449802518,70.26966794926368,29.73033205073632
0.6,5,6000,9.161529257855658,8.602769805825373,2.9752612216143155,0.4317573981142759,4.73133305049005,15.615465549680456,23.507237073399573,4,16.368,9672.12221906565,644.80814793771,66.38810372794678,0.7859349252154592,115942,2,0.710143999025268,31881.7565983104,22403.20449802518,70.26966794926368,29.73033205073632
0.6,5,8000,9.626838589636495,9.06807913760621,3.317176321678864,0.4317573981142759,4.73133305049005,13.055628757112592,19.90369609053021,5,18.249,9672.12221906565,644.80814793771,66.38810372794678,0.7859349252154592,115942,2,0.710143999025268,31881.7565983104,22403.20449802518,70.26966794926368,29.73033205073632
0.6,5,10000,10.092147921417334,9.533388469387049,3.6590914217434123,0.4317573981142759,4.73133305049005,10.495791964544713,16.87909922570241,5,20.13,9672.12221906565,644.80814793771,66.38810372794678,0.7859349252154592,115942,2,0.710143999025268,31881.7565983104,22403.20449802518,70.26966794926368,29.73033205073632
