re_fraction,size_MW,storage_kg,LCOH,LCOH_credits,LCOH_capex,LCOH_opex,LCOH_elec,NPV_M,IRR,payback,CAPEX_M,H2_total_t,H2_annual_t,SEC,CF,op_hours,replacements,curtailment,cycles,demand_total_t,unmet_demand_t,unmet_demand_pct,demand_met_pct
0.6,25,2000,5.331840844577662,5.331840844577662,2.081902313510845,0.36723587624522297,3.063078111286851,-8.08848546968744,4.146374864300023,12.0,36.3935,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.29817731773,8995.585538330346,28.357294569415604,71.6427054305844
0.6,25,4000,5.439444077344884,5.439444077344884,2.1895055462780677,0.36723587624522297,3.063078111286851,-10.01404722305636,3.4087449033621806,12.0,38.2745,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.298177317734,7331.299678312454,23.110871845831532,76.88912815416846
0.6,25,6000,5.547047310112106,5.547047310112106,2.2971087790452893,0.36723587624522297,3.063078111286851,-11.939608976425284,2.7221423452526348,13.0,40.1555,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.298177317727,6338.909975034327,19.982505490623037,80.01749450937696
0.6,25,8000,5.654650542879328,5.654650542879328,2.4047120118125114,0.36723587624522297,3.063078111286851,-13.865170729794205,2.080492252228894,13.0,42.0365,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.298177317734,5660.193616790506,17.842949414168523,82.15705058583148
0.6,25,10000,5.76225377564655,5.76225377564655,2.512315244579734,0.36723587624522297,3.063078111286851,-15.79073248316312,1.4787004198280809,14.0,43.9175,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.298177317734,5146.315383310341,16.223021908892115,83.77697809110789
0.6,25,12000,5.8698570084137724,5.8698570084137724,2.619918477346956,0.36723587624522297,3.063078111286851,-17.71629423653204,0.9124580764236615,14.0,45.7985,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.29817731773,4739.638164661222,14.941030243673161,85.05896975632685
0.6,25,15000,6.031261857564606,6.031261857564606,2.7813233264977892,0.36723587624522297,3.063078111286851,-20.604636866585427,0.12185957302108978,15.0,48.62,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.298177317734,4275.2237689984695,13.477030400197693,86.52296959980231
0.6,25,18000,6.192666706715439,6.192666706715439,2.9427281756486225,0.36723587624522297,3.063078111286851,-23.4929794966388,-0.6071974965388158,inf,51.4415,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.29817731773,3909.282500786934,12.323452982300546,87.67654701769946
0.6,25,21000,6.354071555866272,6.354071555866272,3.104133024799456,0.36723587624522297,3.063078111286851,-26.381322126692183,-1.283023788527576,inf,54.263,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.29817731773,3634.028999739894,11.455755757123296,88.5442442428767
0.6,25,24000,6.515476405017105,6.515476405017105,3.2655378739502887,0.36723587624522297,3.063078111286851,-29.269664756745566,-1.9124105743783169,inf,57.0845,30634.261867399295,2042.2841244932863,49.839514743281974,0.5746575342465754,75510.0,1,0.1448482935078764,1149,31722.29817731773,3411.61444417633,10.754625737096573,89.24537426290343
0.6,30,2000,5.832896790379027,5.832896790379027,2.43592179288982,0.4334164496610828,3.1040992215323744,-16.770170323764457,0.9018142175214346,14.0,43.296,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317727,10022.788311021097,31.59540413811397,68.40459586188604
0.6,30,4000,5.938725709734759,5.938725709734759,2.541750712245552,0.4334164496610828,3.1040992215323744,-18.69573207713338,0.3376495622505457,15.0,45.177,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.29817731773,8173.389263568343,25.765438613185125,74.23456138681487
0.6,30,6000,6.04455462909049,6.04455462909049,2.6475796316012827,0.4334164496610828,3.1040992215323744,-20.621293830502292,-0.19457465853149739,inf,47.058,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.29817731773,7105.958957696378,22.400517509722306,77.5994824902777
0.6,30,8000,6.1503835484462215,6.1503835484462215,2.7534085509570145,0.4334164496610828,3.1040992215323744,-22.54685558387122,-0.6980444063376948,inf,48.939,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317734,6312.109073438411,19.89801948823409,80.10198051176592
0.6,30,10000,6.256212467801952,6.256212467801952,2.859237470312746,0.4334164496610828,3.1040992215323744,-24.472417337240135,-1.175509385951393,inf,50.82,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317738,5742.320280790686,18.101841955752732,81.89815804424727
0.6,30,12000,6.362041387157684,6.362041387157684,2.9650663896684777,0.4334164496610828,3.1040992215323744,-26.397979090609063,-1.6293574560947064,inf,52.701,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.29817731773,5259.655122918781,16.58030919928611,83.4196908007139
0.6,30,15000,6.520784766191281,6.520784766191281,3.1238097687020745,0.4334164496610828,3.1040992215323744,-29.28632172066244,-2.2703390694687404,inf,55.5225,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317734,4696.462697151887,14.804925768303823,85.19507423169618
0.6,30,18000,6.67952814522488,6.67952814522488,3.282553147735672,0.4334164496610828,3.1040992215323744,-32.17466435071584,-2.8688210424250316,inf,58.344,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317734,4245.638964408349,13.383768542482496,86.6162314575175
0.6,30,21000,6.838271524258476,6.838271524258476,3.4412965267692694,0.4334164496610828,3.1040992215323744,-35.06300698076922,-3.4297955269840705,inf,61.1655,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317734,3867.8604768730706,12.19287598664176,87.80712401335823
0.6,30,24000,6.997014903292073,6.997014903292073,3.6000399058028663,0.4334164496610828,3.1040992215323744,-37.9513496108226,-3.957452724809138,inf,63.987,31147.87177680162,2076.524785120108,50.76254387231267,0.5218036529680365,68565.0,1,0.08890897157254773,747,31722.298177317738,3568.7300956720765,11.24991031773294,88.75008968226706
0.6,35,2000,6.425664922085002,6.425664922085002,2.863632901473217,0.512699882062512,3.1409676909966153,-26.447035568128076,-2.2551667408578,inf,50.1985,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.298177317727,11213.596595861241,35.34925664332623,64.65074335667379
0.6,35,4000,6.532968795461121,6.532968795461121,2.9709367748493363,0.512699882062512,3.1409676909966153,-28.372597321496997,-2.70048162644887,inf,52.0795,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.298177317723,9321.52587634734,29.384774785997298,70.61522521400269
0.6,35,6000,6.64027266883724,6.64027266883724,3.078240648225455,0.512699882062512,3.1409676909966153,-30.29815907486592,-3.1247404767500067,inf,53.9605,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.298177317734,8237.83923468255,25.968607913069857,74.03139208693015
0.6,35,8000,6.74757654221336,6.74757654221336,3.1855445216015745,0.512699882062512,3.1409676909966153,-32.223720828234846,-3.529738585112916,inf,55.8415,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.298177317734,7376.196630902911,23.25240305627378,76.74759694372622
0.6,35,10000,6.854880415589479,6.854880415589479,3.292848394977694,0.512699882062512,3.1409676909966153,-34.149282581603764,-3.917059002622868,inf,57.7225,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.29817731773,6723.30320672931,21.194250079701497,78.80574992029851
0.6,35,12000,6.962184288965598,6.962184288965598,3.4001522683538132,0.512699882062512,3.1409676909966153,-36.07484433497269,-4.288104049102755,inf,59.6035,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.298177317734,6201.8595424386085,19.55047363773,80.44952636226999
0.6,35,15000,7.123140099029777,7.123140099029777,3.5611080784179916,0.512699882062512,3.1409676909966153,-38.96318696502607,-4.816847346056625,inf,62.425,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.29817731773,5535.463258163419,17.449754829306215,82.55024517069378
0.6,35,18000,7.284095909093956,7.284095909093956,3.722063888482171,0.512699882062512,3.1409676909966153,-41.851529595079455,-5.315414038231554,inf,65.2465,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.29817731773,5032.0569084758845,15.862838437329662,84.13716156267034
0.6,35,21000,7.445051719158136,7.445051719158136,3.8830196985463497,0.512699882062512,3.1409676909966153,-44.73987222513282,-5.786924636142059,inf,68.068,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.29817731773,4596.432039119314,14.489593450722568,85.51040654927743
0.6,35,24000,7.606007529222313,7.606007529222313,4.0439755086105285,0.512699882062512,3.1409676909966153,-47.628214855186215,-6.234054558897713,inf,70.8895,30719.726200521432,2047.9817467014288,51.43860361599035,0.46837899543378997,61545.0,1,0.051463674105577596,144,31722.298177317734,4244.651678692993,13.380656265717942,86.61934373428207
0.6,40,2000,7.2444223122263045,7.2444223122263045,3.4190122449168237,0.6150147096014053,3.2442948855368603,-38.53804157670973,-6.329091801966605,inf,57.101,29267.592659151047,1951.1728439434032,51.89794685335834,0.4229452054794521,55575.0,0,0.02593482086541752,7905,31722.298177317727,12407.652538200993,39.11334692349872,60.88665307650128
0.6,40,4000,7.35705014768783,7.35705014768783,3.5316400803783488,0.6150147096014053,3.2442948855368603,-40.46360333007866,-6.681557606163651,inf,58.982,29267.592659151047,1951.1728439434032,51.89794685335834,0.4229452054794521,55575.0,0,0.02593482086541752,7905,31722.298177317727,10504.159448968925,33.11285768217031,66.88714231782969
